sigma1	sigma2	posterior
-4.950000000000000380e-05	-3.733333333333333729e-04	1.772460017617919239e-34
-4.950000000000000380e-05	-3.699999999999999947e-04	2.918153973663789820e-34
-4.950000000000000380e-05	-3.666666666666666707e-04	4.795560166411865536e-34
-4.950000000000000380e-05	-3.633333333333333467e-04	7.866292388159251780e-34
-4.950000000000000380e-05	-3.600000000000000227e-04	1.287954864525113239e-33
-4.950000000000000380e-05	-3.566666666666666987e-04	2.104898899546160968e-33
-4.950000000000000380e-05	-3.533333333333333747e-04	3.433698039160973104e-33
-4.950000000000000380e-05	-3.499999999999999964e-04	5.591050930424593791e-33
-4.950000000000000380e-05	-3.466666666666666724e-04	9.087104329264232401e-33
-4.950000000000000380e-05	-3.433333333333333484e-04	1.474207208436501076e-32
-4.950000000000000380e-05	-3.400000000000000244e-04	2.387221584618589251e-32
-4.950000000000000380e-05	-3.366666666666667004e-04	3.858587556316233751e-32
-4.950000000000000380e-05	-3.333333333333333764e-04	6.225376943355731187e-32
-4.950000000000000380e-05	-3.299999999999999982e-04	1.002547269076664786e-31
-4.950000000000000380e-05	-3.266666666666666742e-04	1.611559054045320817e-31
-4.950000000000000380e-05	-3.233333333333333502e-04	2.585770660777892610e-31
-4.950000000000000380e-05	-3.200000000000000262e-04	4.141297699373787089e-31
-4.950000000000000380e-05	-3.166666666666667022e-04	6.620424341599860874e-31
-4.950000000000000380e-05	-3.133333333333333240e-04	1.056424327480667636e-30
-4.950000000000000380e-05	-3.099999999999999999e-04	1.682652436022732687e-30
-4.950000000000000380e-05	-3.066666666666666759e-04	2.675187167312811591e-30
-4.950000000000000380e-05	-3.033333333333333519e-04	4.245393300058049525e-30
-4.950000000000000380e-05	-3.000000000000000279e-04	6.724902166568220918e-30
-4.950000000000000380e-05	-2.966666666666667039e-04	1.063306765037356447e-29
-4.950000000000000380e-05	-2.933333333333333799e-04	1.678170322910331586e-29
-4.950000000000000380e-05	-2.900000000000000017e-04	2.643739388655300383e-29
-4.950000000000000380e-05	-2.866666666666666777e-04	4.157255226957947110e-29
-4.950000000000000380e-05	-2.833333333333333537e-04	6.525299908943677348e-29
-4.950000000000000380e-05	-2.800000000000000297e-04	1.022351678592457749e-28
-4.950000000000000380e-05	-2.766666666666667057e-04	1.598845543127798332e-28
-4.950000000000000380e-05	-2.733333333333333275e-04	2.495855175811927210e-28
-4.950000000000000380e-05	-2.700000000000000577e-04	3.889011679633765950e-28
-4.950000000000000380e-05	-2.666666666666666794e-04	6.048761135974148955e-28
-4.950000000000000380e-05	-2.633333333333333554e-04	9.390771526379788527e-28
-4.950000000000000380e-05	-2.600000000000000314e-04	1.455271766451813756e-27
-4.950000000000000380e-05	-2.566666666666666532e-04	2.251102472761898462e-27
-4.950000000000000380e-05	-2.533333333333333834e-04	3.475802624151232397e-27
-4.950000000000000380e-05	-2.500000000000000052e-04	5.357028826181415596e-27
-4.950000000000000380e-05	-2.466666666666666812e-04	8.241423946552089821e-27
-4.950000000000000380e-05	-2.433333333333333572e-04	1.265581999988589337e-26
-4.950000000000000380e-05	-2.400000000000000332e-04	1.939940719601895492e-26
-4.950000000000000380e-05	-2.366666666666666821e-04	2.968227225778460156e-26
-4.950000000000000380e-05	-2.333333333333333581e-04	4.533323712871351947e-26
-4.950000000000000380e-05	-2.300000000000000070e-04	6.911106987356279873e-26
-4.950000000000000380e-05	-2.266666666666666829e-04	1.051695941073313259e-25
-4.950000000000000380e-05	-2.233333333333333589e-04	1.597514783067606041e-25
-4.950000000000000380e-05	-2.200000000000000078e-04	2.422211692351447286e-25
-4.950000000000000380e-05	-2.166666666666666838e-04	3.665998251371050651e-25
