sigma1	sigma2	posterior
-7.399999999999999894e-04	1.350000000000000000e+05	9.241675700048430228e-86
-7.399999999999999894e-04	1.400000000000000000e+05	3.583387152100048353e-85
-7.399999999999999894e-04	1.450000000000000000e+05	1.381904792492693704e-84
-7.399999999999999894e-04	1.500000000000000000e+05	5.300342047551161754e-84
-7.399999999999999894e-04	1.550000000000000000e+05	2.021952989090100628e-83
-7.399999999999999894e-04	1.600000000000000000e+05	7.671487717837799394e-83
-7.399999999999999894e-04	1.650000000000000000e+05	2.894873011113081736e-82
-7.399999999999999894e-04	1.700000000000000000e+05	1.086477717500436849e-81
-7.399999999999999894e-04	1.750000000000000000e+05	4.055585049333713694e-81
-7.399999999999999894e-04	1.800000000000000000e+05	1.505662333936016225e-80
-7.399999999999999894e-04	1.850000000000000000e+05	5.559593544198588945e-80
-7.399999999999999894e-04	1.900000000000000000e+05	2.041737384985115631e-79
-7.399999999999999894e-04	1.950000000000000000e+05	7.457583128676538557e-79
-7.399999999999999894e-04	2.000000000000000000e+05	2.709179048674008815e-78
-7.200000000000000453e-04	-2.000000000000000000e+05	1.647805794996436693e-124
-7.200000000000000453e-04	-1.950000000000000000e+05	8.819392866139702968e-124
-7.200000000000000453e-04	-1.900000000000000000e+05	4.694752861099236419e-123
-7.200000000000000453e-04	-1.850000000000000000e+05	2.485582397911033976e-122
-7.200000000000000453e-04	-1.800000000000000000e+05	1.308835232631358044e-121
-7.200000000000000453e-04	-1.750000000000000000e+05	6.854616672879868058e-121
-7.200000000000000453e-04	-1.700000000000000000e+05	3.570448324247204491e-120
-7.200000000000000453e-04	-1.650000000000000000e+05	1.849710295355416274e-119
-7.200000000000000453e-04	-1.600000000000000000e+05	9.530727641678328681e-119
-7.200000000000000453e-04	-1.550000000000000000e+05	4.884158927790085557e-118
-7.200000000000000453e-04	-1.500000000000000000e+05	2.489401223080037355e-117
-7.200000000000000453e-04	-1.450000000000000000e+05	1.261947806619077622e-116
-7.200000000000000453e-04	-1.400000000000000000e+05	6.362521615824722573e-116
-7.200000000000000453e-04	-1.350000000000000000e+05	3.190498403189324012e-115
-7.200000000000000453e-04	-1.300000000000000000e+05	1.591216140995232426e-114
-7.200000000000000453e-04	-1.250000000000000000e+05	7.892983639966213116e-114
-7.200000000000000453e-04	-1.200000000000000000e+05	3.893988035971778030e-113
-7.200000000000000453e-04	-1.150000000000000000e+05	1.910686372836282970e-112
-7.200000000000000453e-04	-1.100000000000000000e+05	9.324500631278192434e-112
-7.200000000000000453e-04	-1.050000000000000000e+05	4.525881120450610479e-111
