sigma1	sigma2	posterior
-7.600000000000000418e-04	-1.700000000000000000e+05	2.662818240376443240e-315
-7.600000000000000418e-04	-1.650000000000000000e+05	4.059623283207399171e-314
-7.600000000000000418e-04	-1.600000000000000000e+05	6.155613298723086204e-313
-7.600000000000000418e-04	-1.550000000000000000e+05	9.283212821930248609e-312
-7.600000000000000418e-04	-1.500000000000000000e+05	1.392408506504510505e-310
-7.600000000000000418e-04	-1.450000000000000000e+05	2.077190902473665544e-309
-7.600000000000000418e-04	-1.400000000000000000e+05	3.081963840299303321e-308
-7.600000000000000418e-04	-1.350000000000000000e+05	4.547995740114053260e-307
-7.600000000000000418e-04	-1.300000000000000000e+05	6.675041077572081487e-306
-7.600000000000000418e-04	-1.250000000000000000e+05	9.743819252271301042e-305
-7.600000000000000418e-04	-1.200000000000000000e+05	1.414639820699462271e-303
-7.600000000000000418e-04	-1.150000000000000000e+05	2.042696861974887831e-302
-7.600000000000000418e-04	-1.100000000000000000e+05	2.933616554462196902e-301
-7.600000000000000418e-04	-1.050000000000000000e+05	4.190290735842373907e-300
-7.600000000000000418e-04	-1.000000000000000000e+05	5.952869322778388658e-299
-7.600000000000000418e-04	-9.500000000000000000e+04	8.411044378249013542e-298
-7.600000000000000418e-04	-9.000000000000000000e+04	1.181992941039906992e-296
-7.600000000000000418e-04	-8.500000000000000000e+04	1.652042533942192640e-295
-7.600000000000000418e-04	-8.000000000000000000e+04	2.296513217458944036e-294
-7.600000000000000418e-04	-7.500000000000000000e+04	3.175104747081451371e-293
-7.600000000000000418e-04	-7.000000000000000000e+04	4.366048425661480325e-292
-7.600000000000000418e-04	-6.500000000000000000e+04	5.971183567118808867e-291
-7.600000000000000418e-04	-6.000000000000000000e+04	8.122200011048722835e-290
-7.600000000000000418e-04	-5.500000000000000000e+04	1.098824465137097490e-288
-7.600000000000000418e-04	-5.000000000000000000e+04	1.478510264624764796e-287
-7.600000000000000418e-04	-4.500000000000000000e+04	1.978617066328457453e-286
-7.600000000000000418e-04	-4.000000000000000000e+04	2.633543768772276467e-285
-7.600000000000000418e-04	-3.500000000000000000e+04	3.486267550796340774e-284
-7.600000000000000418e-04	-3.000000000000000000e+04	4.590101296058527277e-283
-7.600000000000000418e-04	-2.500000000000000000e+04	6.010702168710897913e-282
-7.600000000000000418e-04	-2.000000000000000000e+04	7.828337330317323714e-281
