sigma1	sigma2	posterior
-4.950000000000000380e-05	-3.400000000000000244e-04	2.053110613428600180e-17
-4.950000000000000380e-05	-3.366666666666667004e-04	2.531578402399456092e-17
-4.950000000000000380e-05	-3.333333333333333764e-04	3.119199748488830836e-17
-4.950000000000000380e-05	-3.299999999999999982e-04	3.840325017271544931e-17
-4.950000000000000380e-05	-3.266666666666666742e-04	4.724610230643336902e-17
-4.950000000000000380e-05	-3.233333333333333502e-04	5.808144675422296465e-17
-4.950000000000000380e-05	-3.200000000000000262e-04	7.134811914787885624e-17
-4.950000000000000380e-05	-3.166666666666667022e-04	8.757931173820023917e-17
-4.950000000000000380e-05	-3.133333333333333240e-04	1.074223524258136456e-16
-4.950000000000000380e-05	-3.099999999999999999e-04	1.316625194625281047e-16
-4.950000000000000380e-05	-3.066666666666666759e-04	1.612516918823716570e-16
-4.950000000000000380e-05	-3.033333333333333519e-04	1.973427895089270691e-16
-4.950000000000000380e-05	-3.000000000000000279e-04	2.413311387661027326e-16
-4.950000000000000380e-05	-2.966666666666667039e-04	2.949041166203152390e-16
-4.950000000000000380e-05	-2.933333333333333799e-04	3.601006808143917966e-16
-4.950000000000000380e-05	-2.900000000000000017e-04	4.393826971581152370e-16
-4.950000000000000380e-05	-2.866666666666666777e-04	5.357203322562201834e-16
-4.950000000000000380e-05	-2.833333333333333537e-04	6.526942023143344805e-16
-4.950000000000000380e-05	-2.800000000000000297e-04	7.946174668178102910e-16
-4.950000000000000380e-05	-2.766666666666667057e-04	9.666816430572861143e-16
-4.950000000000000380e-05	-2.733333333333333275e-04	1.175130608985592240e-15
-4.950000000000000380e-05	-2.700000000000000577e-04	1.427468075564020019e-15
-4.950000000000000380e-05	-2.666666666666666794e-04	1.732704766341955802e-15
-4.950000000000000380e-05	-2.633333333333333554e-04	2.101652665637983818e-15
-4.950000000000000380e-05	-2.600000000000000314e-04	2.547275015378523820e-15
-4.950000000000000380e-05	-2.566666666666666532e-04	3.085102286924135840e-15
-4.950000000000000380e-05	-2.533333333333333834e-04	3.733726165787445619e-15
-4.950000000000000380e-05	-2.500000000000000052e-04	4.515385707704765984e-15
-4.950000000000000380e-05	-2.466666666666666812e-04	5.456662304627993098e-15
-4.950000000000000380e-05	-2.433333333333333572e-04	6.589302997322115669e-15
-4.950000000000000380e-05	-2.400000000000000332e-04	7.951195054929624544e-15
-4.950000000000000380e-05	-2.366666666666666821e-04	9.587518689064150916e-15
-4.950000000000000380e-05	-2.333333333333333581e-04	1.155210937062979420e-14
-4.950000000000000380e-05	-2.300000000000000070e-04	1.390906657522565450e-14
-4.950000000000000380e-05	-2.266666666666666829e-04	1.673465201693827651e-14
-4.950000000000000380e-05	-2.233333333333333589e-04	2.011952767770932482e-14
-4.950000000000000380e-05	-2.200000000000000078e-04	2.417139235790432915e-14
-4.950000000000000380e-05	-2.166666666666666838e-04	2.901808524416067627e-14
-4.950000000000000380e-05	-2.133333333333333598e-04	3.481123632064957045e-14
-4.950000000000000380e-05	-2.100000000000000087e-04	4.173055657746453798e-14
-4.950000000000000380e-05	-2.066666666666666847e-04	4.998887616741058199e-14
-4.950000000000000380e-05	-2.033333333333333607e-04	5.983805624175885393e-14
-4.950000000000000380e-05	-2.000000000000000096e-04	7.157592051293958643e-14
-4.950000000000000380e-05	-1.966666666666666856e-04	8.555437605477231025e-14
-4.950000000000000380e-05	-1.933333333333333616e-04	1.021889199233056648e-13
-4.950000000000000380e-05	-1.900000000000000105e-04	1.219697593935181089e-13
-4.950000000000000380e-05	-1.866666666666666865e-04	1.454748095627938387e-13
-4.950000000000000380e-05	-1.833333333333333624e-04	1.733848734586605316e-13
-4.950000000000000380e-05	-1.800000000000000113e-04	2.065013573878517367e-13
-4.950000000000000380e-05	-1.766666666666666873e-04	2.457669289654184465e-13
-4.950000000000000380e-05	-1.733333333333333633e-04	2.922895880763515958e-13
-4.950000000000000380e-05	-1.700000000000000122e-04	3.473706930943633479e-13
-4.950000000000000380e-05	-1.666666666666666882e-04	4.125375673136141819e-13
-4.950000000000000380e-05	-1.633333333333333642e-04	4.895814052131761803e-13
-4.950000000000000380e-05	-1.600000000000000131e-04	5.806013065406066808e-13
-4.950000000000000380e-05	-1.566666666666666891e-04	6.880553901601998864e-13
-4.950000000000000380e-05	-1.533333333333333380e-04	8.148200813013646667e-13
-4.950000000000000380e-05	-1.500000000000000140e-04	9.642588276804102147e-13
-4.950000000000000380e-05	-1.466666666666666900e-04	1.140301684686117412e-12
-4.950000000000000380e-05	-1.433333333333333660e-04	1.347537420499963246e-12
-4.950000000000000380e-05	-1.400000000000000419e-04	1.591320032147236860e-12
-4.950000000000000380e-05	-1.366666666666666637e-04	1.877891836972188127e-12
-4.950000000000000380e-05	-1.333333333333333397e-04	2.214525615327365683e-12
-4.950000000000000380e-05	-1.300000000000000157e-04	2.609688634355270530e-12
-4.950000000000000380e-05	-1.266666666666666917e-04	3.073231785242365659e-12
-4.950000000000000380e-05	-1.233333333333333677e-04	3.616607523575680672e-12
-4.950000000000000380e-05	-1.200000000000000437e-04	4.253120821560763987e-12
-4.950000000000000380e-05	-1.166666666666666655e-04	4.998217929896114454e-12
-4.950000000000000380e-05	-1.133333333333333415e-04	5.869818415076708418e-12
-4.950000000000000380e-05	-1.100000000000000175e-04	6.888696694987983052e-12
-4.950000000000000380e-05	-1.066666666666666935e-04	8.078920153291330410e-12
-4.950000000000000380e-05	-1.033333333333333695e-04	9.468351884170474865e-12
