lambda	alpha	uniform_radius_ratio	uniform_density_ratio	uniform_Pc_ratio	uniform_absEg_ratio	uniform_Pi_ratio	n1_radius_ratio	n1_rho_c_ratio	n1_Pc_ratio	n1_absEg_ratio	n1_Pi_ratio
0.574575	4.254248e-01	1.000000e+00	1.000000e+00	4.254248e-01	4.254248e-01	4.254248e-01	1.533164e+00	2.774817e-01	7.699607e-02	2.774817e-01	2.774817e-01
0.576577	4.234228e-01	1.000000e+00	1.000000e+00	4.234228e-01	4.234228e-01	4.234228e-01	1.536784e+00	2.755253e-01	7.591417e-02	2.755253e-01	2.755253e-01
0.578579	4.214208e-01	1.000000e+00	1.000000e+00	4.214208e-01	4.214208e-01	4.214208e-01	1.540430e+00	2.735735e-01	7.484246e-02	2.735735e-01	2.735735e-01
0.580581	4.194188e-01	1.000000e+00	1.000000e+00	4.194188e-01	4.194188e-01	4.194188e-01	1.544102e+00	2.716264e-01	7.378087e-02	2.716264e-01	2.716264e-01
0.582583	4.174168e-01	1.000000e+00	1.000000e+00	4.174168e-01	4.174168e-01	4.174168e-01	1.547801e+00	2.696838e-01	7.272938e-02	2.696838e-01	2.696838e-01
0.584585	4.154148e-01	1.000000e+00	1.000000e+00	4.154148e-01	4.154148e-01	4.154148e-01	1.551526e+00	2.677460e-01	7.168792e-02	2.677460e-01	2.677460e-01
0.586587	4.134128e-01	1.000000e+00	1.000000e+00	4.134128e-01	4.134128e-01	4.134128e-01	1.555278e+00	2.658128e-01	7.065645e-02	2.658128e-01	2.658128e-01
0.588589	4.114108e-01	1.000000e+00	1.000000e+00	4.114108e-01	4.114108e-01	4.114108e-01	1.559058e+00	2.638843e-01	6.963493e-02	2.638843e-01	2.638843e-01
0.590591	4.094088e-01	1.000000e+00	1.000000e+00	4.094088e-01	4.094088e-01	4.094088e-01	1.562865e+00	2.619605e-01	6.862330e-02	2.619605e-01	2.619605e-01
0.592593	4.074068e-01	1.000000e+00	1.000000e+00	4.074068e-01	4.074068e-01	4.074068e-01	1.566700e+00	2.600414e-01	6.762151e-02	2.600414e-01	2.600414e-01
0.594595	4.054048e-01	1.000000e+00	1.000000e+00	4.054048e-01	4.054048e-01	4.054048e-01	1.570564e+00	2.581269e-01	6.662952e-02	2.581269e-01	2.581269e-01
0.596597	4.034028e-01	1.000000e+00	1.000000e+00	4.034028e-01	4.034028e-01	4.034028e-01	1.574456e+00	2.562173e-01	6.564728e-02	2.562173e-01	2.562173e-01
0.598599	4.014008e-01	1.000000e+00	1.000000e+00	4.014008e-01	4.014008e-01	4.014008e-01	1.578378e+00	2.543123e-01	6.467474e-02	2.543123e-01	2.543123e-01
0.600601	3.993988e-01	1.000000e+00	1.000000e+00	3.993988e-01	3.993988e-01	3.993988e-01	1.582328e+00	2.524121e-01	6.371186e-02	2.524121e-01	2.524121e-01
0.602603	3.973968e-01	1.000000e+00	1.000000e+00	3.973968e-01	3.973968e-01	3.973968e-01	1.586309e+00	2.505166e-01	6.275858e-02	2.505166e-01	2.505166e-01
0.604605	3.953948e-01	1.000000e+00	1.000000e+00	3.953948e-01	3.953948e-01	3.953948e-01	1.590320e+00	2.486259e-01	6.181485e-02	2.486259e-01	2.486259e-01
0.606607	3.933928e-01	1.000000e+00	1.000000e+00	3.933928e-01	3.933928e-01	3.933928e-01	1.594362e+00	2.467400e-01	6.088063e-02	2.467400e-01	2.467400e-01
0.608609	3.913908e-01	1.000000e+00	1.000000e+00	3.913908e-01	3.913908e-01	3.913908e-01	1.598434e+00	2.448589e-01	5.995588e-02	2.448589e-01	2.448589e-01
0.610611	3.893888e-01	1.000000e+00	1.000000e+00	3.893888e-01	3.893888e-01	3.893888e-01	1.602538e+00	2.429826e-01	5.904054e-02	2.429826e-01	2.429826e-01
0.612613	3.873868e-01	1.000000e+00	1.000000e+00	3.873868e-01	3.873868e-01	3.873868e-01	1.606673e+00	2.411111e-01	5.813456e-02	2.411111e-01	2.411111e-01
0.614615	3.853848e-01	1.000000e+00	1.000000e+00	3.853848e-01	3.853848e-01	3.853848e-01	1.610841e+00	2.392444e-01	5.723789e-02	2.392444e-01	2.392444e-01
0.616617	3.833828e-01	1.000000e+00	1.000000e+00	3.833828e-01	3.833828e-01	3.833828e-01	1.615042e+00	2.373826e-01	5.635050e-02	2.373826e-01	2.373826e-01
0.618619	3.813808e-01	1.000000e+00	1.000000e+00	3.813808e-01	3.813808e-01	3.813808e-01	1.619275e+00	2.355256e-01	5.547232e-02	2.355256e-01	2.355256e-01
0.620621	3.793788e-01	1.000000e+00	1.000000e+00	3.793788e-01	3.793788e-01	3.793788e-01	1.623542e+00	2.336735e-01	5.460332e-02	2.336735e-01	2.336735e-01
0.622623	3.773768e-01	1.000000e+00	1.000000e+00	3.773768e-01	3.773768e-01	3.773768e-01	1.627843e+00	2.318263e-01	5.374344e-02	2.318263e-01	2.318263e-01
0.624625	3.753747e-01	1.000000e+00	1.000000e+00	3.753747e-01	3.753747e-01	3.753747e-01	1.632178e+00	2.299840e-01	5.289263e-02	2.299840e-01	2.299840e-01
0.626627	3.733727e-01	1.000000e+00	1.000000e+00	3.733727e-01	3.733727e-01	3.733727e-01	1.636548e+00	2.281466e-01	5.205085e-02	2.281466e-01	2.281466e-01
0.628629	3.713707e-01	1.000000e+00	1.000000e+00	3.713707e-01	3.713707e-01	3.713707e-01	1.640953e+00	2.263141e-01	5.121805e-02	2.263141e-01	2.263141e-01
0.630631	3.693687e-01	1.000000e+00	1.000000e+00	3.693687e-01	3.693687e-01	3.693687e-01	1.645394e+00	2.244865e-01	5.039418e-02	2.244865e-01	2.244865e-01
