sigma1	sigma2	posterior
-5.000000000000000240e-05	1.733333333333333362e-04	1.042552235102755780e-08
-5.000000000000000240e-05	1.766666666666666060e-04	1.787656775175943853e-08
-5.000000000000000240e-05	1.799999999999999842e-04	3.086119854120724591e-08
-5.000000000000000240e-05	1.833333333333333624e-04	5.317045942486899637e-08
-5.000000000000000240e-05	1.866666666666666322e-04	9.080475719444373537e-08
-5.000000000000000240e-05	1.900000000000000105e-04	1.529567933351690592e-07
-5.000000000000000240e-05	1.933333333333332803e-04	2.532341373595186051e-07
-5.000000000000000240e-05	1.966666666666666585e-04	4.110631516250268011e-07
-5.000000000000000240e-05	1.999999999999999283e-04	6.531354017971026087e-07
-5.000000000000000240e-05	2.033333333333333065e-04	1.014659202644911006e-06
-5.000000000000000240e-05	2.066666666666666847e-04	1.540079756257272413e-06
-5.000000000000000240e-05	2.099999999999999545e-04	2.282859533496240018e-06
-5.000000000000000240e-05	2.133333333333333327e-04	3.303901593430582839e-06
-5.000000000000000240e-05	2.166666666666666025e-04	4.668286850966936599e-06
-5.000000000000000240e-05	2.199999999999999807e-04	6.440202800947235856e-06
-5.000000000000000240e-05	2.233333333333333589e-04	8.676259855387066959e-06
-5.000000000000000240e-05	2.266666666666666287e-04	1.141777989491991282e-05
-5.000000000000000240e-05	2.300000000000000070e-04	1.468302135265034196e-05
-5.000000000000000240e-05	2.333333333333332768e-04	1.846057472071272116e-05
-5.000000000000000240e-05	2.366666666666666550e-04	2.270522321487114081e-05
-5.000000000000000240e-05	2.399999999999999248e-04	2.733735181198334002e-05
-5.000000000000000240e-05	2.433333333333333030e-04	3.224650333617933186e-05
-5.000000000000000240e-05	2.466666666666666812e-04	3.729899761687070547e-05
-5.000000000000000240e-05	2.499999999999999510e-04	4.234878887372903780e-05
-5.000000000000000240e-05	2.533333333333333292e-04	4.725010866200623545e-05
-5.000000000000000240e-05	2.566666666666665990e-04	5.187008189727312560e-05
-5.000000000000000240e-05	2.599999999999999772e-04	5.609950406454240431e-05
-5.000000000000000240e-05	2.633333333333333554e-04	5.986032981066444192e-05
-5.000000000000000240e-05	2.666666666666666252e-04	6.310905582391366966e-05
-5.000000000000000240e-05	2.700000000000000035e-04	6.583592898713322764e-05
-5.000000000000000240e-05	2.733333333333332732e-04	6.806060086161405383e-05
-5.000000000000000240e-05	2.766666666666666515e-04	6.982533866070011303e-05
-5.000000000000000240e-05	2.800000000000000297e-04	7.118711356296866148e-05
-5.000000000000000240e-05	2.833333333333332995e-04	7.220981937649644791e-05
-5.000000000000000240e-05	2.866666666666666777e-04	7.295759327045550765e-05
-5.000000000000000240e-05	2.899999999999999475e-04	7.348981722591505980e-05
-5.000000000000000240e-05	2.933333333333333257e-04	7.385797902023317682e-05
-5.000000000000000240e-05	2.966666666666665955e-04	7.410424623216456180e-05
-5.000000000000000240e-05	2.999999999999999737e-04	7.426139939406432909e-05
-5.000000000000000240e-05	3.033333333333333519e-04	7.435368637520107160e-05
-5.000000000000000240e-05	3.066666666666666217e-04	7.439817649783383286e-05
-5.000000000000000240e-05	3.099999999999999999e-04	7.440627296640473420e-05
-5.000000000000000240e-05	3.133333333333332697e-04	7.438514844516752177e-05
-5.000000000000000240e-05	3.166666666666666480e-04	7.433897176838848760e-05
-5.000000000000000240e-05	3.200000000000000262e-04	7.426987634492805159e-05
-5.000000000000000240e-05	3.233333333333332960e-04	7.417867649153785711e-05
-5.000000000000000240e-05	3.266666666666666742e-04	7.406536835912586568e-05
-5.000000000000000240e-05	3.299999999999999440e-04	7.392946320102942916e-05
